ts,t,h
"1482080612","19.0","38.0"
"1482080913","19.0","38.0"
"1482081214","19.0","38.0"
"1482081514","19.0","38.0"
"1482081815","19.0","38.0"
"1482082116","20.0","38.0"
"1482082417","20.0","38.0"
"1482082718","20.0","39.0"
"1482083018","20.0","38.0"
"1482083319","20.0","38.0"
